URL,Nome,Categoria,Descrizione,Tipo_Contenuto,Valore_AI,RSS_API,Priorità,Note
"https://www.visitverona.it/it","VisitVerona Ufficiale","Istituzionale","Portale turistico ufficiale di Verona con info complete","Mainstream turistico","MEDIO","SI","Media","Dati eventi ufficiali"
"https://museicivici.comune.verona.it","Musei Civici Verona","Istituzionale","Info musei civici, mostre, eventi culturali istituzionali","Cultura istituzionale","ALTO","SI","Media","Eventi culturali ufficiali"
"https://www.lospeziale.bio/","Lo Speziale","Spazio Autentico","Spazio Veronetta, cibo bio, ambiente creativo per scrittori","Spazio autentico","ALTO","NO","Media","Veronetta underground - spazi affrescati"
"https://www.circololettoriverona.it/","Circolo Lettori Verona","Cultura Alternativa","Spazio culturale Piazza Erbe, eventi letterari, rifugio per pioggia","Cultura alternativa","MEDIO","NO","Media","Eventi culturali indie"
"https://www.eleonoraongaro.it/","Blog Eleonora Ongaro","Travel Blogging","Itinerari e consigli turistici personali per Verona","Travel blogging","MEDIO","SI","Media","Prospettiva personale - itinerari e consigli"
"https://fuoricucina.com/","Fuori Cucina","Food Culture","Blog gastronomico regionale, focus su tradizioni culinarie","Food culture","MEDIO","SI","Media","Tradizioni gastronomiche"
"https://www.sanmarco.vr.it/blog/","Blog San Marco","Family Tourism","Cosa vedere con bambini, dove mangiare, guide family-friendly","Family tourism","ALTO","SI","Media","Target famiglie - con bambini"
"https://www.visitverona.it/it/pianifica/verona-accessibile","Verona Accessibile","Accessibilità","Informazioni accessibilità per disabili","Accessibilità","ALTO","SI","Media","Tourism inclusivo"
"https://kimap.it/una-giornata-a-verona/","KiMap Accessibilità","Accessibilità","Guide accessibilità e mappe per disabili","Accessibilità","ALTO","NO","Media","Mappe accessibili"
"https://www.goverona.it/verona-per-i-disabili/","GoVerona Disabili","Accessibilità","Itinerari e servizi per persone con disabilità","Accessibilità","ALTO","NO","Media","Servizi specifici"
"https://www.nowmyplace.com/it/place/lago-di-garda/543-cosa-fare-a-verona--10-idee-originali","NowMyPlace","Alternative Activities","Idee originali per visitare Verona, attività non standard","Alternative activities","ALTO","NO","Media","Ideas creative - visitare in caso di pioggia"
"https://www.hotelveronesilatorre.it/vivi-verona/cosa-fare-a-verona-se-piove/","Hotel Veronesi La Torre","Weather Alternative","Consigli per visitare Verona quando piove","Weather alternatives","MEDIO","NO","Media","visitare Verona in caso di pioggia"
"https://palazzomaffeiverona.com/museo/palazzo/","Palazzo Maffei","Cultura Premium","Museo + giardino interno, spazio culturale premium","Cultura premium","MEDIO","NO","Media","Eventi esclusivi - museo + giardino interno"
"https://museoarcheologico.comune.verona.it/","Museo Archeologico","Cultura/Storia","Collezioni e eventi museo archeologico","Cultura/Storia","MEDIO","SI","Media","Eventi specifici - museo"
"https://www.visitverona.it/it/esplora/i-ristoranti-tipici-dove-mangiare-a-verona","Ristoranti Tipici VisitVerona","Food Guide","Guida ufficiale ristoranti tipici veronesi","Food guide","MEDIO","SI","Media","dove mangiare"
"https://www.sanmarco.vr.it/blog/verona-dove-cosa-mangiare.htm","San Marco Food Guide","Food Guide","Guida dove e cosa mangiare a Verona","Food guide","MEDIO","SI","Media","cosa vedere e mangiare"
"https://www.falstaff.com/it/notizie/best-of-ristoranti-verona-dove-mangiare-prima-o-dopo-uno-spettacolo-allarena","Falstaff Arena Restaurants","Food Guide","Ristoranti vicino Arena per spettacoli","Food guide","MEDIO","NO","Media","dove mangiare nei pressi dell'arena"
"http://www.ristorantetipicoverona.com/ristoranti/elenco-completo.html","Ristorante Tipico Verona","Food Guide","Elenco completo ristoranti tipici veronesi","Food guide","MEDIO","NO","Media","dove mangiare"
"https://turismo.comune.verona.it/nqcontent.cfm?a_id=35647","Itinerari Tematici Comune","Istituzionale","Itinerari tematici ufficiali del Comune","Istituzionale","ALTO","SI","Alta","itinerari a tema"
"https://www.italia.it/it/veneto/verona","Italia.it Verona","Tourism Portal","Portale nazionale Italia per Verona","Tourism portal","MEDIO","SI","Media","Portal nazionale"
"https://www.vr.camcom.it","Camera Commercio Verona","Istituzionale","Sezione turismo e cultura, app VeronAppeal","Business/Istituzionale","MEDIO","SI","Media","Dati economici settore"
"https://giardinogiusti.com/opening/","Giardino Giusti","Natura/Storia","Giardino storico, orari apertura","Natura/Storia","MEDIO","NO","Media","Hidden gem"
"https://www.bibliotecacapitolare.it/","Biblioteca Capitolare","Cultura Storica","Biblioteca storica, manoscritti medievali","Cultura storica","BASSO","NO","Bassa","Nicchia culturale"
"https://www.goverona.it/itinerari-a-piedi-con-mappa-di-verona/","GoVerona Walking","Walking Tours","Itinerari a piedi con mappa di Verona","Walking tours","MEDIO","NO","Media","Mappe itinerari locali"
"http://www.veronissima.com/sito_italiano/html/info_mappa-turistica-verona.html","Veronissima Mappe","Tourism Maps","Mappe turistiche di Verona","Tourism maps","MEDIO","NO","Media","Mappe turistiche"
"veronissima.com","Veronissima","Tourism Portal","Portale turistico locale Verona","Tourism portal","MEDIO","NO","Media","Portal locale"
"vertours.com","VerTours","Tour Commerciali","Tour operator Verona","Tour commerciali","BASSO","NO","Bassa","Tour operator"
"https://www.verona-travel.com/","Verona Travel","Tour Commerciali","Portale viaggi turistici Verona","Tour commerciali","BASSO","NO","Bassa","Tourism commercial"
"https://veronaguide.it/","Verona Guide","Tour Commerciali","Guide turistiche professionali, tour personalizzati","Tour commerciali","BASSO","NO","Bassa","Competitor diretto"
"https://verona.com/en/","Verona.com","Tour Commerciali","Portale turistico commerciale internazionale","Tour commerciali","BASSO","NO","Bassa","Content marketing"
"https://www.veronatours.com/","Verona Tours","Tour Commerciali","Tour operator locale, esperienze guidate","Tour commerciali","BASSO","NO","Bassa","Servizi standard"
"https://www.getyourguide.it/verona-l389/","GetYourGuide Verona","Booking Platform","Piattaforma booking internazionale per Verona","Booking platform","BASSO","NO","Bassa","Mainstream tourism"
"https://www.viator.com/","Viator","Booking Platform","Piattaforma tour globale con sezione Verona","Booking platform","BASSO","NO","Bassa","Tourism industriale"
"https://www.gpsmycity.com/tours/verona-introduction-walking-tour-2546.html","GPSMyCity","Tourism Apps","App walking tours internazionale","Tourism apps","BASSO","NO","Bassa","Template globale"
"https://www.tours-italy.com/search-results?query=verona","Tours Italy","Tour Commerciali","Piattaforma tour Italia generica","Tour commerciali","BASSO","NO","Bassa","Non local-specific"
"https://walksineurope.com/cities/italy-walking-tours/verona-walking-tours/","Walks in Europe","Walking Tours","Walking tours europei generici","Walking tours","BASSO","NO","Bassa","Template europeo"
"https://www.skyscanner.it/notizie/15-cose-da-vedere-a-verona","Skyscanner Verona","Tourism Guide","Guida turistica mainstream cosa vedere","Tourism guide","BASSO","NO","Bassa","cosa vedere/visitare"
"https://www.civitatis.com/blog/it/cosa-vedere-verona/","Civitatis Verona","Tourism Guide","Guida turistica cosa visitare a Verona","Tourism guide","BASSO","NO","Bassa","cosa visitare a Verona"
"https://www.vr.camcom.it/it/content/veronappeal-la-app-del-settore-turistico-ed-enogastronomico-di-verona","VeronAppeal Camera Commercio","Business App","App del settore turistico ed enogastronomico","Business app","MEDIO","NO","Media","App business turistico"
"https://www.vr.camcom.it/content/turismo-e-cultura","Camera Commercio Turismo","Business Info","Sezione turismo e cultura camera commercio","Business info","MEDIO","SI","Media","Dati business turistico"
