,Ristorante Mare Nostro,"Giambattista Moschini 26
37129 Verona, Veneto",€€€,Pesce e cucina mediterranea,Veronetta,"Lunedì chiuso

Da Martedì a Sabato
12.30 – 14.30
19.30 – 22.30

Domenica
12.30 – 14.30","Locale moderno, accessibile","Amanti del pesce fresco, coppie e famiglie.",Gastronomico,"45.4420, 11.0052",Media,Bassa,Alta,Bassa,Misto,"Ispirata alla tradizione napoletana, con tocchi contemporanei, incentrata sul pesce freschissimo selezionato quotidianamente.
Guidata da Antonio Martino e Tammaro Piedimonte, con una sala accogliente e professionale (Tresy e Marco).
Ospitato in una struttura storica restaurata con eleganza, con sale calde e un’area riservata per eventi.
Scialatelli ai ricci di mare, crudi e fritture di alta qualità.
Un locale raffinato e rassicurante, in cui la qualità del mare si fonde con un servizio caloroso e premuroso.
",
,Al Calmiere,"Piazza San Zeno 10, 37123 Verona",€€–€€€,Specialità veronesi,"Quartiere San Zeno, vicino alla basilica","
Lunedì: CHIUSO
Martedì: 12:30 – 14:30 / 19:30 – 22:00
Mercoledì: 12:30 – 14:30 / 19:30 – 22:00
Giovedi: 12:30 – 14:30 / 19:30 – 22:00
Venenerdì: 12:30 – 14:30 / 19:30 – 22:00
Sabato: 12:30 – 14:30 / 19:30 – 22:00
Domenica: 12:30 – 14:30",Accessibile,"Famiglie, coppie, turisti che vogliono scoprire il quartiere di San Zeno.",Gastronomico,"45.4385, 10.9840",Alta,Bassa,Alta / Critica weekend,Bassa,Misto,"Nato nel 1919 come osteria di mescita, il nome deriva da “calmierare”, riflettendo il suo legame con il vino e la convivialità popolare. Si narra che durante la festa vendessero fino a 50 damigiane in un giorno. 
Nel 1987 Pietro e Morena Battistoni hanno trasformato l’osteria in un ristorante veronese autentico, valorizzando la tradizione con iniziative come il camino nella sala principale. 
Edificio storico vicino alla Basilica di San Zeno, con ampia capienza e camino suggestivo; ottimo anche per eventi. 
pasta fresca fatta in casa, carni alla brace e il celebre “carrello dei bolliti” (sei tipi di carni bollite più arrosto). 
Cucina stagionale, con bolliti in inverno e grigliate d’estate; selezione attenta di vini veronesi, inclusi quelli meno noti; menu attento alle intolleranze come il glutine. 
Un tempio della cucina veronese, con valore storico, qualità costante, atmosfera accogliente e professionalità.",
"TRATTORIE/
OSTERIE",Al Bersagliere,"Via Dietro Pallone 1, 37121 Verona",€€–€€€,"Tradizionale veronese (risotto all’Amarone, bollito con pearà) e cucina stagionale; cantina con oltre 2000 etichette","Zona Filippini, centro storico","Da Martedì a Sabato 
Locale 9:30 - 15:00 | 19:15 - 22:00
Ristorazione 12:00 - 13:45 | 19:15 .- 22:00 
Domenica chiuso","Locale dallo stile vintage, accessibilità ridotta","Amanti della cucina veronese e del vino, gruppi e coppie.",Gastronomico,"45.4388, 10.9959",Alta,Bassa,Alta,Bassa,Chiuso,"Trattoria storica in Borgo Filippini, fondata nel 1927 come locanda, rinnovata nel 1990 da Leo Ramponi. Ambienti storici, arredi vintage e cimeli, cantina del XIII secolo. 
Ambienti accoglienti e “di casa”: juke-box, macchina del caffè anni ’60, fossili, cimeli sportivi (polvere e passione), salette tematiche (Pianoforte, Cantanti, Sportiva). 
Eccellenza della cucina veronese autentica: bigoli con anatra, pastissada de caval, baccalà mantecato, risotto all’Amarone, diplomatico (dessert). Cucina generosa e rassicurante, autenticamente territoriale. 
Cantina storica visitabile nel XIII secolo; ampia selezione di Amarone, vini locali e distillati. 
Calore familiare di Leo, Marina e Alessandro; servizio attento e autentico; ambiente elegante ma genuino, che fa sentire a casa.
",
,Osteria Mondo d'Oro,"Via Mondo d’Oro 5, 37122 Verona",€€,"Tradizionale italiana, piatti veneti e pasta fresca, atmosfera familiare",A pochi passi da Castelvecchio,"lunedì 12.30 – 14.30 | 19.30 – 22.30
martedì chiuso 
mercoledì 19.30 – 22.30
giovedì 12.30 – 14.30 | 19.30 – 22.30
venerdì 12.30 – 14.30 | 19.30 – 22.30
sabato 12.30 – 14.30 | 19.30 – 22.30
domenica 12.30 – 14.30 |19.30 – 22.30
","Locale di piccole dimensioni, accessibilità parziale",Clientela locale e turisti che cercano una trattoria semplice e autentica.,Gastronomico,"45.4379, 10.9895",Media,Bassa,Alta,Bassa,Chiuso,"L ’Osteria Mondo d’Oro, ideata da Giancarlo Perbellini, riprende il nome di una storica insegna veronese (“Mondodoro”) e propone una “nuova tradizione” della cucina italiana, con sapori autentici e piatti regionali da riscoprire.
Osteria Mondo d'Oro
Ambiente informale, rilassato e conviviale, con un design distintivo e personalizzato, che valorizza l’esperienza sensoriale oltre al semplice pasto.
Cucina italiana di stagione, ben curata, con opzioni vegetariane. Ottimo rapporto qualità-prezzo, riconosciuto con il prestigioso Bib Gourmand.
Situata a pochi passi da Casa Perbellini, l’ambiente è accogliente con possibilità di spazio esterno nelle vie laterali, ideale per cene rilassate",
,Trattoria I Masenini ,"Via Roma, 34, 37121 Verona (VR)",€€,"Tradizionale italiana e veneta, con piatti regionali e specialità come spiedini di carne, in ambiente rilassato e informale; dispone di spazio esterno per l’estate","Centro storico, di fronte al Castelvecchio","
Aperti tutti i giorni
Pranzo: 12:30 – 14:00
Cena: 19:30 – 22:00

Chiusi
Lunedì a pranzo
e Domenica tutto il giorno.","Accessibile in sedia a rotelle, aria condizionata, possibilità di spazio esterno, accettano carte di credito","Coppie e gruppi adulti che cercano cucina tradizionale, atmosfera autentica e una zona centrale comoda — ottimo anche per cene tranquille in contesto storico.",Gastronomico,,Media,Bassa,Alta,Bassa,Misto,"L’identità del locale si radica in una tradizione profonda—l’osteria originaria del 1836 era frequentata da protagonisti della difesa dell’italianità. 
La cucina sposa ricordi regionali e classici della tradizione italiana, reinterpretati in chiave moderna. 
L’ambiente rilassato, con travi in legno, luci soffuse e arredo informale, si trova di fronte al Castelvecchio; lo specialità della casa sono gli spiedini di carne, e in estate è disponibile una zona all’aperto. 
L’interior è vintage, con travi, boiserie e lampadari, mentre il menu include piatti classici come bucatini cacio e pepe, guancia brasata con purè e zuppa inglese individuale, oltre alla carne arrostita allo spiedo.",
,Osteria la Fontanina ,"Via Fontanina 4, 37121 Verona",€€€,"Cucina veronese e mediterranea in chiave raffinata, con ampia selezione di vini","Centro storico, vicino al Ponte Pietra",Lun–Sab 19:30–23:00; Domenica chiuso,"Locale storico, interni con volte e arredi antichi, accessibilità limitata (scale all’ingresso)","Coppie, gourmet, turisti internazionali alla ricerca di un’esperienza suggestiva e romantica.",Gastronomico,"45.4452, 10.9989",Media,Bassa,Alta / Critica weekend,Bassa,Misto,"L'Osteria La Fontanina Ristorante è un locale suggestivo ed elegante, ubicato in una delle zone più antiche di Verona, nei pressi del Teatro Romano e vicino a Ponte Pietra. L'osteria è una delle più antiche della città e vanta oltre 200 anni di storia. Il ristorante, dotato di tavoli all'aperto e di ambiente con aria condizionata, propone una cucina creativa a base di carne e pesce, curata nei minimi dettagli, ed una ricca carta di vini. Il locale è l'ideale anche per pranzi e cene d'affari con convenzioni aziendali e menù degustazione da 40 a 60 Euro (bevande incluse, con acqua e vino della casa). Presso l'Osteria La Fontanina Ristorante si parlano Inglese e Francese ed il locale è aperto a pranzo su prenotazione dal martedì al sabato, a cena dal lunedì al sabato.

",
,Trattoria al Pompiere ,"Vicolo Regina d’Ungheria 5, 37121 Verona",€€€,"Tradizionale veronese, rinomata per la selezione di salumi e formaggi",Dietro Piazza delle Erbe,"lunedì 12:30–14 | 19:30–22:30
martedì 12:30–14 | 19:30–22:30
mercoledì 12:30–14 | 19:30–22:30
giovedì 12:30–14 |19:30–22:30
venerdì 12:30–14 | 19:30–22:30
sabato 12:30–14 | 19:30–22:30
domenica	Chiuso

","Accesso limitato (locale storico, spazi stretti)",Appassionati di cucina tipica e prodotti locali.,Gastronomico,"45.4418, 10.9989",Media,Bassa,Alta / Critica weekend,Bassa,Misto,"Nato come osteria da un pompiere, ha mantenuto la sua anima autentica e rustica – oggi guidato dallo chef Marco Dandrea, con forte legame al territorio.
Ambienti caldi in legno, tavoli ravvicinati con tovaglie quadrettate e foto in bianco e nero evocano un’atmosfera nostalgica e accogliente.
 Piatto forte la cucina veronese e veneta di stagione, con piatti semplici ma ricercati. Vasta selezione di salumi (35 tipi) e formaggi (circa 100 varietà).
Ampia selezione di vini veronesi (Amarone, Valpolicella), italiani e internazionali, con cantina ben fornita (oltre 400 etichette).
Tiramisù celebrato come uno dei migliori al mondo, atmosfera “anni '60”, design vintage e accoglienza romantica.",
,Osteria Due Mori,"Via Giuseppe Garibaldi 16, 37121 Verona",€€,Cucina tipica con piatti casalinghi e vini locali,: Centro storico (vicino Castelvecchio),Tutti i giorni pranzo e cena,Accessibile,Turisti e locali in cerca di piatti semplici e gustosi.,Gastronomico,"45.4410, 10.9945",Media,Bassa,Alta,Bassa,Misto,"Un ambiente piccolo, intimo, caldo e accogliente, con servizio attento, cortese e premuroso. 
Specialità venete ben curate e abbondanti, con piatti casalinghi e ben presentati come pappardelle al ragù di anatra e funghi, bollito tagliato sottilmente, lasagne, tiramisù, gnocchi e abbinamenti creativi. 
Carta vini compatta ma curata, con buone scelte di vini al bicchiere e bottiglie con un buon rapporto qualità-prezzo. 
Offre opzioni per intolleranti al glutine, con menù e preparazioni gluten-free eccellenti e staff preparato. 
",
,La Piazzetta Osteria & Enoteca,"Via Cisterna 1, 37121 Verona",€€,"Mediterranea, piatti di carne e pesce, vini naturali",Centro storico,"Mar–Sab pranzo e cena, domenica chiuso",Accessibile,"Giovani coppie, amanti dei vini.",Gastronomico,"45.4425, 10.9992",Media,Media,Alta,Media,Misto,"Osteria ed enoteca nel centro storico di Verona, caratterizzata da un ambiente caldo ed elegante, con piccole salette accoglienti e atmosfera intima.
Propone piatti della tradizione veronese e classici italiani, rivisitati con attenzione alla qualità e alla stagionalità delle materie prime.
Specialità: risotto all’Amarone, baccalà mantecato con polenta croccante, pappardelle al ragù d’anatra, tonno scottato, pasta fresca con tartufo.
Cucina semplice ma curata, con attenzione particolare a chi ha esigenze alimentari specifiche: ottime opzioni gluten free e piatti vegetariani/vegani disponibili.
Ampia selezione di vini, con attenzione alle etichette locali.
Locale elegante ma informale, ideale per coppie, piccoli gruppi e buongustai che cercano un’esperienza autentica e rilassata nel cuore di Verona.",
,Osteria del Bugiardo,"Corso Porta Borsari 17, 37121 Verona",€€ - €€€,"Piatti veronesi, cicchetti, vini di Cantina Buglioni",Centro storico,Tutti i giorni 11:00–23:00,Accessibile,"Amanti del vino, turisti, gruppi di amici.",Gastronomico,"45.4412, 10.9969",Media,Alta,Alta / Critica weekend,Alta,Misto,"Aperta nel 2005 da Cantina Buglioni, è un’osteria/enoteca conviviale nel centro storico di Verona. Prende il nome dal celebre Valpolicella Ripasso “Il Bugiardo”.
Piatti semplici e gustosi della tradizione italiana e veneta: taglieri di salumi e formaggi, cicchetti, primi casalinghi, secondi di carne e dolci tipici.
Ampia selezione di vini della Cantina Buglioni e di etichette locali, serviti anche al bicchiere, perfetti per aperitivi o abbinamenti ai piatti.
Rustica e accogliente, con tavoloni in legno e un ambiente vivace. Ideale per un aperitivo, una cena informale o una serata tra amici.",
,Greppia,"Vicolo Samaritana 3, 37121 Verona",€€,"Cucina tradizionale veronese (bollito con pearà, pasta fresca)","Centro, vicino Piazza delle Erbe","Lunedì chiuso 
Martedì - Domenica 
dalle 12:00 alle 15:00 
dalle 19:00 alle 22:30 ","Locale storico, parzialmente accessibile",Clienti tradizionali e turisti alla ricerca della cucina autentica.,Gastronomico,"45.4419, 10.9991",Media,Bassa,Alta,Bassa,Chiuso,"Greppia è un ristorante storico/veronese aperto dal 1975 in centro a Verona. Serve cucina veronese tradizionale e classica italiana, valorizzando piatti popolari e sapori locali. Piatti tipici della cucina popolare veronese e nazionale: pasta, carni, antipasti locali (come sopressa, salame veronese), piatti abbondanti e porzioni generose. Ottima selezione di vini veronesi, regionali e nazionali. La carta vini include più di 300 etichette; attenzione anche a vini naturali e biodinamici. Ambiente caldo, accogliente, con saletta interna grande e spazio esterno (dehor). Ottimo per pranzi o cene rilassati; atmosfera tradizionale ma curata",
,Osteria Il Bertoldo,"Vicolo Cadrega 2/A, 37121 Verona",€€,"Mediterranea, carne e pesce, conduzione familiare; offre opzioni gluten free",Centro storico,"Lun–Dom: apertura continuata 12:00–22:00 

Alternativa (fonte aggiuntiva): Lun–Dom 12:00–14:30 e 18:30–22:30", ,"Coppie o piccoli gruppi che cercano un pasto autentico, accogliente e senza formalità.",Gastronomico,,Media,Bassa,Alta,Bassa,,"Aperta dal 1988, è una piccola osteria nel cuore storico di Verona, conosciuta per la qualità dei piatti e l’atmosfera accogliente.
Specialità di carne e pesce fresco, pasta fatta in casa, attenzione alla tradizione italiana con proposte curate. Disponibili numerose opzioni senza glutine.
Locale raccolto, arredato con gusto, ambiente intimo e familiare. Servizio gentile e attento.",
,Osteria Scudo di Francia,"Vicolo Scudo di Francia 5, 37121 Verona",€€–€€€,"Mediterranea e specialità di mare, con opzioni vegetariane","Centro storico, vicino alla Sinagoga","Aperto tutti i giorni, dalle 10:00 alle 00:00","Accessibile in sedia a rotelle; accetta carte, posti esterni, prenotazioni","Clientela giovane e internazionale, amanti di piatti di mare attenti a un buon rapporto qualità/prezzo.",Gastronomico,,Media,Media,Alta,Media,Misto,"Cucina mediterranea con specialità di mare; opzioni vegetariane anche disponibili.
Atmosfera accogliente, rustica-elegante; locato in un vicolo tranquillo vicino Via Mazzini; servizio cortese. Piatti con ingredienti di qualità, menu aggiornato, piatti di mare come ceviche, tonno, gnocchi, pesce crudo; dessert ben curati. ",
,Caffè Monte Baldo,"Via Rosa 12, 37121 Verona",€€,"Cicchetti, risotto all’Amarone, vini locali",Centro storico,"Lun–Sab 11:00–23:00, domenica chiuso",Accessibile,Turisti e amanti delle specialità veronesi.,Gastronomico,"45.4421, 10.9982",Media,Alta,Alta,Media,Misto,"Storica osteria / bottiglia (“bottega storica”) di Verona dal 1909. Nata come latteria, trasformata poi in osteria, bar/caffetteria, oggi tornata a riscoprire la tipicità veronese. 
Cucina tipica veronese e veneta con materie prime di alta qualità, pasta fatta in casa, piatti stagionali, risotto all’Amarone della Valpolicella, piatti di pesce, tartine/cicchetti, salumi, formaggi. Opzioni anche per vegetariani, vegani e persone con intolleranze alimentari (gluten free) 
Locale caldo, accogliente, con elementi storici ben conservati: pavimentazione in marmette cementizie d’epoca, boiserie con specchiatura, arredi storici. Parte come caffè/bar/tapas + parte ristorante. Frequentato da locali, turisti. 
Ampia selezione con oltre 300 etichette, molte locali. Il locale è riconosciuto anche per la sua carta vini premiata.",
,Focacceria La Figaccia," Via Daniele Manin, 4/A, 37122 Verona VR",€,"Street food ligure (focacce, farinata)","Centro, vicino a Piazza Erbe","Domenica 11.30-15.30 | 18.30-21.30
Lunedì 11.30-15.30 | 18.30-21.30
Martedì 11.30-15.30 | 18.30-21.30
Mercoledì 11.30-15.30 | 18.30-21.30
Giovedì 10.00-15.30 | 18.30-21.30
Venerdì 10.00-15.30 | 18.30-21.30
Sabato 11.30-15.30 |18.30-21.30",Accessibile,"Giovani, turisti veloci, chi cerca pranzo rapido e buono.",Gastronomico,"45.4407, 10.9986",Media,Media,Bassa,Bassa,Street food,"Un locale caratteristico e rustico nel cuore della nostra stupenda città, realizzato usando materiali di recupero. Idea di tre giovani ragazzi con l'obiettivo di valorizzare i prodotti tipici di verona e della Lessinia. Qui potrai trovare cibo di prima scelta direttamente dai piccoli produttori delle nostre montagne.",
,Hosteria la vecchia fontanina ,"Piazzetta Chiavica 5, 37121 Verona VR",€€,"Cucina veronese, piatti tradizionali come bigoli, gnocchi, carni alla griglia etc.","Centro storico (“Città Antica”), vicino a Piazza delle Erbe / Piazzetta Chiavica","Lun-Sab 10:30-15:30 pranzo, 18:30-23:00 cena",,"Clientela locale e visitatori che cercano cucina tradizionale veronese autentica, atmosfera calorosa e porzioni generose; adatto a cena informale o pranzo rilassato.",Gastronomico,,Media,Media,Alta,Bassa,Misto,,
,Osteria La fregola ,"Via Ponte Nuovo, 7, 37121 Verona VR",€€ - €€€,"Cucina tradizionale veronese (primer piatti fatti in casa, carne, piatti della “cucina della mamma”), dolci casalinghi.","Centro storico, a pochi passi da Piazza delle Erbe / centro antico di Verona","Lun – Sab: Pranzo 12:00-14:30, Cena 19:00-22:30; Giovedì chiuso",Accessibile,"Famiglie, turisti che vogliono cibo genuino/veronese in ambiente accogliente, persone con intolleranze (ha opzioni senza glutine)",Gastronomico,,Media,Bassa,Alta,Bassa,Misto,,
,Osteria il punto rosa ,"Via Fratta, 12/A, 37121 Verona V",€€ - €€€,"Cucina tipica italiana / veronese, con qualche specialità di mare; piatti genuini, prodotti freschi","Centro storico, molto vicino all’Arena / zona Città Antica di Verona",Lunedì-Sabato 11:00-23:00; domenica chius,,Clientela locale + turisti alla ricerca di piatti tipici non troppo formali; persone che apprezzano cucina veronese ma con qualche proposta più ampia,Gastronomico,,Media,Bassa,Alta,Bassa,Misto,,
,La vecia mescola ,"Vicolo Ghiaia, 2 (o 3) — 37122 Verona VR",€€,"Enoteca / wine bar + cucina italiana casalinga semplice; piatti del giorno, tapas/tocchi di cucina italiana con buona selezione vini.","Vicolo Ghiaia, vicinissimo all’Arena / centro; posizione piuttosto comoda per chi visita Verona centro storico",Tutti i giorni dalle ~8:00 fino alle 23:00; venerdì/sabato fino alle ~23:30,Accessibile,"Ottimo per chi ama vino, piccole porzioni, ambiente rilassato; turisti + locali che vogliono aperitivo o cena non troppo impegnativa.",Gastronomico,,Media,Bassa,Alta,Bassa,Misto,"“Enoteca con ampia scelta di vini (oltre 900 etichette), ambiente curato, porzioni corrette, ottimo per chi ama bere bene e mangiare con leggerezza. È un punto di riferimento per chi cerca qualcosa tra bar e ristorante.",
,Torcolo,"Via Carlo Cattaneo, 11, 37121 Verona VR",€€ - €€€,"Cucina italiana/regionale con specialità più ricercate: piatti di mare, tartare, primi gourmet, carne di qualità, anche piatti di grande cura estetica","Centro storico / entro mura, Verona (zona centrale)",Pranzo: circa 12:00-14:30; Cena: 19:00-22:30; Anche tardi fino circa mezzanotte nei fine settimana ‒ da PagineGialle indicato 11:00-15:00 / 19:00-24:00,,"Clientela che cerca un’esperienza gastronomica raffinata, non “solo tradizionale”, apprezzamento estetico del piatto; adatto a occasioni speciali, coppie, gruppi che vogliono qualcosa di più del solito.",Gastronomico,,Alta,Bassa,Alta,Bassa,Misto,,
